City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
388,Santa Lucia,ES,27.91,-15.54,71.01,68,40,18.34
389,Verkh-Usugli,RU,52.7,115.17,35.78,80,1,10.47
390,San Patricio,MX,19.22,-104.7,82.4,83,20,6.93
391,Parian Dakula,PH,5.56,120.77,84.38,76,0,7.67
392,Altamira,BR,-3.2,-52.21,89.6,66,75,3.36
393,Huaicheng,CN,23.91,112.19,76.87,90,0,2.3
394,Santo Tomas,PH,14.11,121.14,82.4,94,75,0.92
395,Alofi,NU,-19.06,-169.92,69.8,94,37,2.24
396,Vladimir,RU,56.14,40.4,53.35,96,31,6.51
397,Makarov,RU,48.63,142.8,39.11,89,14,6.73
398,Guerrero Negro,MX,27.98,-114.06,81.5,37,0,10.4
399,Adrar,MR,20.5,-10.07,97.9,9,0,4.99
400,Aktash,RU,50.3,87.73,22.05,91,0,1.74
401,Yaval,IN,21.17,75.7,89.6,13,0,7.0
402,Margate,GB,51.38,1.39,54.0,81,0,13.02
403,La Ronge,CA,55.1,-105.28,48.2,34,5,12.75
404,Hobyo,SO,5.35,48.53,84.49,74,100,10.94
405,Coquimbo,CL,-29.95,-71.34,57.2,87,75,13.87
406,Holovyne,UA,50.47,28.83,44.98,78,100,3.91
407,Mount Isa,AU,-20.73,139.5,53.6,58,0,1.12
408,Methoni,GR,36.82,21.7,62.6,77,20,2.71
409,Seydisehir,TR,37.42,31.85,53.17,61,0,2.21
410,Christchurch,NZ,-43.53,172.63,44.01,93,78,1.12
411,Itarema,BR,-2.92,-39.92,83.07,82,5,14.29
412,Komsomolskiy,UZ,40.43,71.72,68.0,40,100,9.17
413,Hirara,JP,24.8,125.28,76.32,88,100,14.32
414,Mogadishu,SO,2.04,45.34,83.71,77,99,14.7
415,Benghazi,LY,32.12,20.07,69.04,50,0,1.01
416,Santa Cruz,BO,-17.8,-63.17,71.6,56,90,17.22
417,Pundaguitan,PH,6.37,126.17,82.71,78,0,7.29
418,Cambridge,CA,43.36,-80.31,55.99,25,20,8.05
419,Basco,PH,20.45,121.97,80.98,85,86,8.55
420,Luanshya,ZM,-13.14,28.42,59.56,70,85,6.04
421,Sassandra,CI,4.95,-6.08,81.36,85,96,7.23
422,Joao Pinheiro,BR,-17.74,-46.17,76.23,70,100,4.27
423,Lasa,IT,46.62,10.7,48.2,42,5,3.36
424,Miranda De Ebro,ES,42.69,-2.95,66.99,63,20,9.17
425,Totness,SR,5.88,-56.32,81.14,83,100,10.87
426,Cabedelo,BR,-6.98,-34.83,78.8,94,40,4.7
427,Oum Hadjer,TD,13.3,19.7,89.28,36,33,3.47
428,Lompoc,US,34.64,-120.46,86.0,43,1,18.34
429,Klaksvik,FO,62.23,-6.59,46.4,87,67,8.05
430,Tabas,IR,33.6,56.92,91.4,16,100,9.17
431,Msowero,TZ,-6.53,37.2,73.4,94,75,1.9
432,Snasa,NO,64.25,12.38,42.8,87,75,14.99
433,Adelaide,AU,-34.93,138.6,69.01,19,40,23.04
434,George,ZA,-33.96,22.46,57.2,100,39,5.82
435,Lanzhou,CN,36.06,103.79,57.0,76,100,2.28
436,Te Anau,NZ,-45.42,167.72,50.36,83,100,6.71
437,Karratha,AU,-20.74,116.85,72.03,76,0,2.35
438,Kualakapuas,ID,-3.01,114.39,77.0,92,30,1.9
439,Pisco,PE,-13.7,-76.22,73.99,73,61,8.05
440,Payo,ID,-3.75,103.64,75.02,92,100,1.74
441,Atar,MR,20.52,-13.05,99.84,8,0,10.83
442,Krasnyy Chikoy,RU,50.36,108.75,32.7,93,0,5.41
443,Lamu,KE,-2.27,40.9,79.56,79,100,15.3
444,Elko,US,41.0,-115.5,68.0,10,1,12.75
445,Luz,BR,-19.8,-45.69,78.28,64,100,4.99
446,Hailar,CN,49.2,119.7,65.91,31,100,27.78
447,Constitucion,CL,-35.33,-72.42,67.87,33,0,12.33
448,Lavrentiya,RU,65.58,-171.0,22.01,89,0,2.26
449,Banda Aceh,ID,5.56,95.32,81.43,73,18,5.95
450,Kanigiri,IN,15.4,79.52,84.49,72,95,11.34
451,Tripoli,LY,32.88,13.19,81.7,33,62,8.05
452,Huarmey,PE,-10.07,-78.15,74.77,64,100,9.62
453,Iwanai,JP,42.97,140.51,41.31,89,47,1.07
454,Norsup,VU,-16.07,167.38,71.37,89,100,25.14
455,Tepetzintla,MX,21.17,-97.83,86.41,56,99,7.72
456,Qorveh,IR,35.17,47.8,43.83,65,0,17.34
457,Port Lincoln,AU,-34.73,135.87,57.79,80,98,17.31
458,Villacarrillo,ES,38.12,-3.08,77.0,41,23,3.76
459,Vanavara,RU,60.34,102.28,30.67,97,0,2.95
460,Muroto,JP,33.28,134.15,62.37,77,52,21.16
461,Port Blair,IN,11.67,92.75,84.27,77,98,3.33
462,Sitio Novo Do Tocantins,BR,-5.52,-47.46,91.4,55,40,3.36
463,Lobatse,BW,-25.22,25.67,59.0,41,0,2.24
464,Borogontsy,RU,62.67,131.17,32.54,95,100,7.29
465,Beira,MZ,-19.84,34.84,75.2,73,20,5.82
466,Kirkcudbright,GB,54.84,-4.05,55.99,74,0,1.01
467,Bayir,TR,37.27,28.22,60.8,72,0,4.7
468,Falun,SE,60.6,15.63,51.8,34,56,10.29
469,West Wendover,US,40.74,-114.07,75.2,8,1,17.22
470,Antalaha,MG,-14.9,50.28,74.71,79,83,6.42
471,High Level,CA,58.52,-117.14,60.8,51,75,3.36
472,Rawson,AR,-43.3,-65.1,64.56,28,0,12.24
473,Kramat,ID,-8.13,113.45,74.84,88,100,0.98
474,Srednekolymsk,RU,67.45,153.68,24.3,97,71,3.89
475,Samarai,PG,-10.62,150.67,79.88,77,100,20.36
476,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,47,40,11.18
477,Celestun,MX,20.87,-90.4,87.48,60,100,12.19
478,Koumac,NC,-20.57,164.28,67.32,84,100,11.14
479,Katete,UG,-0.78,29.75,64.11,98,100,3.78
480,Fremont,US,37.55,-121.99,73.0,43,1,12.75
481,Altay,CN,47.87,88.12,40.05,60,0,6.55
482,Ryotsu,JP,38.08,138.43,46.4,93,75,4.7
483,Salekhard,RU,66.53,66.6,26.28,96,100,4.76
484,La Maddalena,IT,41.21,9.41,66.2,88,90,4.7
485,Konevo,RU,62.12,39.32,44.96,98,100,3.13
486,Soyo,AO,-6.13,12.37,78.87,86,1,7.58
487,Tawang,IN,27.58,91.87,43.03,65,0,3.87
488,Tomatlan,MX,19.93,-105.25,89.15,44,0,11.39
489,Nioro,GM,13.35,-15.75,93.09,24,5,12.15
490,Tezu,IN,27.92,96.17,69.17,79,91,5.41
491,Kenai,US,60.55,-151.26,53.6,32,1,5.82
492,Churapcha,RU,62.0,132.43,32.34,95,100,7.45
493,Uva,RU,56.99,52.19,59.0,43,5,5.48
494,Aksu,CN,41.12,80.26,66.15,26,49,15.3
495,Oakdale,US,44.96,-92.96,64.99,36,75,18.34
496,Gbadolite,CD,4.28,21.02,73.2,95,88,3.6
497,Lerwick,GB,60.15,-1.15,48.2,70,29,6.93
498,Okha,RU,53.57,142.95,30.88,94,1,9.04
499,Maniitsoq,GL,65.42,-52.9,33.71,85,0,4.63
500,Dawlatabad,AF,36.41,64.91,76.91,31,0,11.9
501,Bandrele,YT,-12.91,45.19,82.4,78,75,13.87
502,Cawayan,PH,9.97,122.62,81.84,78,98,3.56
503,Glens Falls,US,43.31,-73.64,57.0,30,40,6.93
504,Popova,RU,42.96,131.72,32.0,61,0,6.71
505,Cidreira,BR,-30.18,-50.21,61.12,67,100,15.55
506,Timoteo,BR,-19.58,-42.64,79.92,68,30,2.06
507,Ilulissat,GL,69.22,-51.1,30.2,63,75,3.36
508,Saint-Louis,SN,16.33,-15.0,107.6,16,100,2.24
509,El Vigia,VE,8.62,-71.65,89.92,56,100,4.21
510,Exeter,GB,50.72,-3.53,57.2,54,0,5.82
511,College,US,64.86,-147.8,55.0,45,75,1.25
512,Bereda,ES,43.27,-7.54,64.0,70,25,8.99
513,Terrasini,IT,38.15,13.08,69.01,88,75,6.93
514,Sydney,AU,-33.87,151.21,55.4,82,100,9.17
515,Nouadhibou,MR,20.93,-17.03,68.0,77,0,21.92
516,Henties Bay,NA,-22.12,14.28,80.01,24,0,14.74
517,Alta Floresta,BR,-9.88,-56.09,91.4,59,40,6.93
518,Marand,IR,38.43,45.77,51.8,62,40,18.34
519,Lubango,AO,-14.92,13.49,63.03,52,25,5.91
520,Galveston,US,29.37,-94.97,82.4,39,1,13.87
521,Kinango,KE,-4.14,39.32,77.0,94,75,10.29
522,Husavik,IS,66.04,-17.34,46.4,77,75,3.36
523,Caidian,CN,30.58,114.03,69.8,83,90,6.71
524,Concarneau,FR,47.88,-3.92,62.6,77,20,4.7
525,Lukulu,ZM,-14.37,23.24,65.37,54,0,3.47
526,Huntington,US,38.42,-82.45,52.0,57,90,12.75
527,Ulvila,FI,61.43,21.87,41.0,65,0,5.82
528,Guarapari,BR,-20.67,-40.5,86.0,50,100,1.05
529,Den Helder,NL,52.96,4.76,48.99,66,0,8.05
530,Ivdel,RU,60.69,60.42,54.05,72,0,4.88
531,Victoria,HK,22.29,114.16,81.0,93,44,1.01
532,Hervey Bay,AU,-25.3,152.85,62.6,77,75,5.82
533,Mrakovo,RU,52.72,56.62,53.96,56,2,5.79
534,Mali,GN,12.08,-12.3,104.0,31,12,4.7
535,Encruzilhada Do Sul,BR,-30.54,-52.52,56.91,58,33,9.44
536,Januaria,BR,-15.48,-44.37,83.23,56,98,1.3
537,Rancho Palos Verdes,US,33.74,-118.39,82.99,44,40,9.17
538,Khuzdar,PK,27.74,66.64,75.67,17,0,5.14
